lng,lat,card_value,card_count,shipping,order_count,zip,city,country
-13.6073332,28.9937063,7.78,2,2.53,1,35550,Las Palmas de Gran Canaria,Spain
-8.665559199999999,43.2275012,36.0,3,5.06,2,15100,Carballo,Spain
-5.935878199999999,54.62485299999999,7.0,1,2.53,1,BT153FG,Belfast,United Kingdom
-4.474826,36.6819541,2.0,2,2.53,1,29004,Malaga,Spain
-2.9238378,43.2571974,8.0,17,2.53,1,48005,Bilbao,Spain
-1.8391485,39.0019158,5.4,3,2.21,1,02001,Albacete,Spain
-1.2070113,37.9287007,17.7,7,2.53,1,30833,Sangonera la Verde (Murcia),Spain
-0.1077723,51.6369319,49.0,1,12.86,1,N21 1LN,London,United Kingdom
0.511695,43.76052199999999,3.5,1,2.53,1,32360,Lavardens,France
1.6979398,41.3461265,20.9,5,2.21,1,08720,Vilafranca Del Penedes,Spain
2.381153,48.85799300000001,2.4,1,2.53,1,75011,Paris,France
2.566932,49.647007,9.2,4,2.53,1,80500,Montdidier,France
2.7630471,41.6528561,3.6,4,2.53,1,08380,Malgrat de Mar,Spain
3.7290914,51.06783069999999,3.2,6,2.98,2,9000,Gent,Belgium
3.9448488,50.9615032,90.0,4,6.9,1,9340,Lede,Belgium
4.34148,51.20367,58.0,1,6.0,1,2070,Burcht,Belgium
4.355078499999999,51.8344145,3.0,1,2.21,1,3207SB,Spijkenisse,Netherlands
4.4007483,52.09089729999999,9.5,2,2.21,1,2264LG,Leidschendam,Netherlands
4.4737954,51.0208132,58.5,3,0.0,1,2800,Mechelen,Belgium
4.7215113,50.9535967,12.4,7,1.4,1,3110,Rotselaar,Belgium
4.73571,50.88514,11.3,3,1.4,1,3010,Kessel-Lo,Belgium
4.827381,50.98061509999999,3.5,1,1.4,1,3200,Aarschot,Belgium
4.8441095,52.3639618,12.0,1,2.53,1,1058ES,Amsterdam,Netherlands
4.9419189,52.3931306,9.95,1,2.53,1,1023XC,Amsterdam,Netherlands
5.344740499999999,50.9215166,0.0,57,0.0,1,3500,Hasselt,Belgium
5.471422,52.51853699999999,17.0,1,2.21,1,8245HA,Lelystad,Netherlands
5.6069213,50.59030389999999,0.9,1,1.4,1,4053,Embourg,Belgium
6.149984099999999,53.2761155,80.0,1,11.5,1,9291GZ,Kollum,Netherlands
6.1737197,48.6896459,15.0,3,2.21,1,54000,Nancy,France
6.2300426,52.2665984,18.5,10,2.53,1,7425rg,Deventer,Netherlands
6.568109199999999,53.1350779,33.5,1,8.0,1,9761BV,Eelde,Netherlands
8.4644509,49.1465388,40.35,5,10.5,1,76676,Graben-Neudorf,Germany
8.5136343,49.2244562,8.5,1,2.21,1,68753,Waghausel,Germany
9.0286944,54.7906442,4.5,4,2.21,1,25917,Achtrup,Germany
9.8377274,52.6478492,67.5,2,11.9,1,29323,Wietze,Germany
9.8889002,57.0384773,2.0,9,2.53,1,9000,Aalborg,Denmark
9.9953344,53.6921392,5.1,3,2.53,1,22850,Norderstedt,Germany
10.0226511,45.133249,18.0,8,2.21,1,26100,Cremona,Italy
10.1284243,53.208713,12.0,1,2.21,1,21376,Salzhausen,Germany
10.3765154,52.0640206,6.4,2,2.53,1,38259,Salzgitter,Germany
10.4003284,43.7309683,8.4,4,2.53,1,56123,Pisa,Italy
11.4842864,48.1892389,16.2,2,2.53,1,80997,Munchen,Germany
12.5179439,55.681845,2.36,6,2.53,1,2000,Frederiksberg,Denmark
13.4035426,52.33435799999999,9.2,6,2.21,1,15827,Blankenfelde OT Dahlewitz,Germany
13.7364624,50.7766262,24.0,4,2.21,1,01773,Altenberg,Germany
13.7364625,50.7766262,13.5,14,2.53,1,01773,Altenberg,Germany
14.4694186,35.9191182,32.0,4,12.86,1,SWQ2282,Swieqi,Malta
14.4898001,40.6984766,6.0,6,2.53,1,80053,Castellammare Di Stabia (NA),Italy
14.7890198,55.1136597,5.5,1,2.53,1,3700,Ronne,Denmark
16.3541243,48.1857835,3.5,1,2.53,1,1050,Wien,Austria
16.8498282,46.8379252,4.0,5,2.21,1,8900,Zalaegerszeg,Hungary
17.66665,49.2380088,15.35,5,2.21,1,76005,Zlin,Czech Republic
18.0077781,59.3179883,1.2,1,2.53,1,11767,Stockholm,Sweden
20.2299725,63.8299073,2.4,4,2.53,1,90320,Umea,Sweden
22.0025444,50.0400986,18.3,17,2.21,1,35-068,Rzeszow,Poland
23.4711986,51.1431232,9.0,2,2.53,1,22-100,Chelm,Poland
26.7084346,58.3511805,5.5,1,2.21,1,50110,Tartu,Estonia
