lng,lat,city,card_value,card_count,shipping,order_count,country,locations
4.49749782,50.98159913999999,"Gent,  Mechelen, Rotselaar, Kessel-Lo, Aarschot",88.9,20,7.18,6,Belgium,5
5.0858168,52.4252098,"Amsterdam, Amsterdam, Lelystad",38.95,3,7.27,3,Netherlands,3
5.475830899999999,50.75591024999999," Hasselt, Embourg",0.9,58,1.4,2,Belgium,2
8.4890426,49.1854975,"Graben-Neudorf, Waghausel",48.85,6,12.71,2,Germany,2
2.4740425,49.252500000000005,"Paris, Montdidier",11.6,5,5.06,2,France,2
4.3779134,51.962655899999994,"Spijkenisse, Leidschendam",12.5,3,4.42,2,Netherlands,2
9.98307585,52.92828110000001,"Wietze, Salzhausen",79.5,3,14.11,2,Germany,2
14.4898001,40.6984766,Castellammare Di Stabia (NA),6.0,6,2.53,1,Italy,1
14.7890198,55.1136597,Ronne,5.5,1,2.53,1,Denmark,1
16.3541243,48.1857835,Wien,3.5,1,2.53,1,Austria,1
-8.665559199999999,43.2275012,Carballo,36.0,3,5.06,2,Spain,1
16.8498282,46.8379252,Zalaegerszeg,4.0,5,2.21,1,Hungary,1
17.66665,49.2380088,Zlin,15.35,5,2.21,1,Czech Republic,1
13.4035426,52.33435799999999,Blankenfelde OT Dahlewitz,9.2,6,2.21,1,Germany,1
22.0025444,50.0400986,Rzeszow,18.3,17,2.21,1,Poland,1
23.4711986,51.1431232,Chelm,9.0,2,2.53,1,Poland,1
13.7364624,50.7766262,Altenberg,24.0,4,2.21,1,Germany,1
9.8889002,57.0384773,Aalborg,2.0,9,2.53,1,Denmark,1
11.4842864,48.1892389,Munchen,16.2,2,2.53,1,Germany,1
10.3765154,52.0640206,Salzgitter,6.4,2,2.53,1,Germany,1
10.0226511,45.133249,Cremona,18.0,8,2.21,1,Italy,1
-1.8391485,39.0019158,Albacete,5.4,3,2.21,1,Spain,1
9.0286944,54.7906442,Achtrup,4.5,4,2.21,1,Germany,1
6.568109199999999,53.1350779,Eelde,33.5,1,8.0,1,Netherlands,1
6.1737197,48.6896459,Nancy,15.0,3,2.21,1,France,1
1.6979398,41.3461265,Vilafranca Del Penedes,20.9,5,2.21,1,Spain,1
-0.1077723,51.6369319,London,49.0,1,12.86,1,United Kingdom,1
26.7084346,58.3511805,Tartu,5.5,1,2.21,1,Estonia,1
